Especie;Year;Month;Flag;Lat;Lon;Valor
FALn;2021;1;ECU;-18.5;-76.5;1
FALn;2021;1;ECU;-18.5;-75.5;5
FALn;2021;1;ECU;-18.5;-74.5;3
FALn;2021;1;ECU;-17.5;-75.5;5
FALn;2021;1;ECU;-14.5;-94.5;1
FALn;2021;1;ECU;-13.5;-102.5;1
FALn;2021;1;ECU;-11.5;-110.5;1
FALn;2021;1;ECU;-11.5;-106.5;2
FALn;2021;1;ECU;-11.5;-105.5;2
FALn;2021;1;ECU;-11.5;-98.5;1
FALn;2021;1;ECU;-10.5;-145.5;13
FALn;2021;1;ECU;-10.5;-116.5;1
FALn;2021;1;ECU;-10.5;-114.5;1
FALn;2021;1;ECU;-10.5;-110.5;1
FALn;2021;1;ECU;-10.5;-108.5;3
FALn;2021;1;ECU;-10.5;-105.5;2
FALn;2021;1;ECU;-9.5;-143.5;15
FALn;2021;1;ECU;-9.5;-127.5;2
FALn;2021;1;ECU;-9.5;-112.5;1
FALn;2021;1;ECU;-9.5;-108.5;2
FALn;2021;1;ECU;-8.5;-145.5;25
FALn;2021;1;ECU;-8.5;-144.5;14
FALn;2021;1;ECU;-8.5;-127.5;3
FALn;2021;1;ECU;-8.5;-112.5;4
FALn;2021;1;ECU;-8.5;-110.5;1
FALn;2021;1;ECU;-7.5;-121.5;2
FALn;2021;1;ECU;-7.5;-113.5;7
FALn;2021;1;ECU;-7.5;-112.5;1
FALn;2021;1;ECU;-7.5;-110.5;1
FALn;2021;1;ECU;-7.5;-108.5;1
FALn;2021;1;ECU;-6.5;-147.5;3
FALn;2021;1;ECU;-6.5;-113.5;1
FALn;2021;1;ECU;-6.5;-109.5;1
FALn;2021;1;ECU;-5.5;-149.5;3
FALn;2021;1;ECU;-5.5;-144.5;3
FALn;2021;1;ECU;-5.5;-113.5;2
FALn;2021;1;ECU;-5.5;-112.5;3
FALn;2021;1;ECU;-5.5;-108.5;3
FALn;2021;1;ECU;-5.5;-107.5;1
FALn;2021;1;ECU;-5.5;-94.5;2
FALn;2021;1;ECU;-5.5;-89.5;2
FALn;2021;1;ECU;-5.5;-87.5;1
FALn;2021;1;ECU;-4.5;-115.5;3
FALn;2021;1;ECU;-4.5;-114.5;3
FALn;2021;1;ECU;-4.5;-112.5;1
FALn;2021;1;ECU;-4.5;-104.5;1
FALn;2021;1;ECU;-4.5;-94.5;1
FALn;2021;1;ECU;-3.5;-148.5;6
FALn;2021;1;ECU;-3.5;-143.5;4
FALn;2021;1;ECU;-3.5;-141.5;4
FALn;2021;1;ECU;-3.5;-115.5;1
FALn;2021;1;ECU;-3.5;-114.5;3
FALn;2021;1;ECU;-3.5;-113.5;4
FALn;2021;1;ECU;-3.5;-110.5;4
FALn;2021;1;ECU;-2.5;-147.5;4
FALn;2021;1;ECU;-2.5;-146.5;7
FALn;2021;1;ECU;-2.5;-120.5;1
FALn;2021;1;ECU;-2.5;-117.5;2
FALn;2021;1;ECU;-2.5;-111.5;3
FALn;2021;1;ECU;-2.5;-102.5;1
FALn;2021;1;ECU;-2.5;-95.5;1
FALn;2021;1;ECU;-1.5;-121.5;3
FALn;2021;1;ECU;1.5;-95.5;2
FALn;2021;1;ECU;1.5;-94.5;1
FALn;2021;1;ECU;1.5;-85.5;4
FALn;2021;1;ECU;2.5;-99.5;4
FALn;2021;1;ECU;2.5;-94.5;2
FALn;2021;1;ECU;2.5;-91.5;3
FALn;2021;1;ECU;2.5;-85.5;3
FALn;2021;1;ECU;3.5;-137.5;10
FALn;2021;1;ECU;3.5;-95.5;11
FALn;2021;1;ECU;4.5;-136.5;11
FALn;2021;1;ECU;4.5;-134.5;12
FALn;2021;1;ECU;4.5;-133.5;23
FALn;2021;1;ECU;4.5;-114.5;4
FALn;2021;1;MEX;11.5;-107.5;12
FALn;2021;1;MEX;20.5;-109.5;1
FALn;2021;1;NIC;1.5;-124.5;18
FALn;2021;1;NIC;3.5;-132.5;16
FALn;2021;1;Other;-10.5;-146.5;7
FALn;2021;1;Other;-10.5;-145.5;10
FALn;2021;1;Other;-9.5;-120.5;4
FALn;2021;1;Other;-9.5;-115.5;1
FALn;2021;1;Other;-9.5;-114.5;1
FALn;2021;1;Other;-8.5;-124.5;1
FALn;2021;1;Other;-6.5;-121.5;11
FALn;2021;1;Other;-6.5;-109.5;4
FALn;2021;1;Other;-5.5;-135.5;4
FALn;2021;1;Other;-5.5;-111.5;2
FALn;2021;1;Other;-4.5;-135.5;8
FALn;2021;1;Other;-4.5;-133.5;8
FALn;2021;1;Other;-3.5;-118.5;1
FALn;2021;1;Other;-2.5;-114.5;1
FALn;2021;1;Other;-1.5;-114.5;2
FALn;2021;1;PAN;-12.5;-125.5;4
FALn;2021;1;PAN;-10.5;-146.5;9
FALn;2021;1;PAN;-10.5;-144.5;7
FALn;2021;1;PAN;-10.5;-143.5;8
