Especie;Year;Month;Flag;Lat;Lon;Valor
FALn;1993;2;USA;-10.5;-82.5;3
FALn;1993;2;USA;-9.5;-86.5;19
FALn;1993;2;USA;-9.5;-85.5;4
FALn;1993;2;USA;-9.5;-84.5;71
FALn;1993;3;USA;-9.5;-86.5;29
FALn;1993;4;USA;-10.5;-89.5;11
FALn;1993;4;USA;-9.5;-89.5;11
FALn;1993;4;USA;6.5;-83.5;5
FALn;1993;4;USA;6.5;-78.5;11
FALn;1993;4;USA;10.5;-86.5;27
FALn;1993;5;ECU;5.5;-77.5;4
FALn;1993;5;ECU;6.5;-77.5;1
FALn;1993;5;MEX;25.5;-109.5;1
FALn;1993;5;MEX;26.5;-110.5;3
FALn;1993;5;USA;4.5;-77.5;1
FALn;1993;5;USA;5.5;-78.5;37
FALn;1993;5;USA;5.5;-77.5;13
FALn;1993;5;USA;6.5;-77.5;1
FALn;1993;5;USA;7.5;-81.5;1
FALn;1993;5;USA;7.5;-79.5;2
FALn;1993;5;VEN;7.5;-78.5;1
FALn;1993;5;VUT;6.5;-77.5;18
FALn;1993;6;COL;3.5;-78.5;47
FALn;1993;6;COL;3.5;-77.5;11
FALn;1993;6;ECU;3.5;-79.5;55
FALn;1993;6;ECU;3.5;-78.5;58
FALn;1993;6;ECU;3.5;-77.5;15
FALn;1993;6;ECU;4.5;-79.5;23
FALn;1993;6;ECU;4.5;-77.5;7
FALn;1993;6;MEX;23.5;-111.5;1
FALn;1993;6;Other;3.5;-78.5;6
FALn;1993;6;USA;3.5;-78.5;2
FALn;1993;6;USA;4.5;-78.5;25
FALn;1993;6;USA;7.5;-79.5;1
FALn;1993;6;VEN;7.5;-79.5;4
FALn;1993;6;VEN;10.5;-92.5;1
FALn;1993;6;VUT;1.5;-96.5;1
FALn;1993;6;VUT;4.5;-80.5;21
FALn;1993;6;VUT;4.5;-79.5;43
FALn;1993;6;VUT;5.5;-83.5;27
FALn;1993;6;VUT;6.5;-83.5;180
FALn;1993;6;VUT;7.5;-83.5;26
FALn;1993;7;COL;2.5;-79.5;12
FALn;1993;7;COL;3.5;-77.5;2
FALn;1993;7;ECU;4.5;-81.5;41
FALn;1993;7;MEX;23.5;-112.5;1
FALn;1993;7;Other;3.5;-79.5;49
FALn;1993;7;Other;4.5;-78.5;156
FALn;1993;7;VEN;3.5;-97.5;13
FALn;1993;7;VEN;4.5;-78.5;38
FALn;1993;7;VEN;9.5;-123.5;92
FALn;1993;7;VUT;3.5;-79.5;96
FALn;1993;7;VUT;3.5;-78.5;2
FALn;1993;7;VUT;4.5;-79.5;49
FALn;1993;7;VUT;4.5;-78.5;49
FALn;1993;7;VUT;4.5;-77.5;14
FALn;1993;8;ECU;-2.5;-81.5;1
FALn;1993;8;ECU;-1.5;-81.5;1
FALn;1993;8;ECU;4.5;-79.5;37
FALn;1993;8;ECU;5.5;-79.5;20
FALn;1993;8;MEX;2.5;-95.5;1
FALn;1993;8;MEX;2.5;-88.5;5
FALn;1993;8;MEX;3.5;-95.5;6
FALn;1993;8;MEX;3.5;-94.5;2
FALn;1993;8;MEX;4.5;-92.5;8
FALn;1993;8;MEX;5.5;-93.5;15
FALn;1993;8;MEX;18.5;-114.5;18
FALn;1993;8;MEX;23.5;-110.5;12
FALn;1993;8;Other;-1.5;-81.5;1
FALn;1993;8;Other;0.5;-80.5;6
FALn;1993;8;VUT;6.5;-90.5;1
FALn;1993;8;VUT;8.5;-96.5;11
FALn;1993;9;ECU;2.5;-81.5;23
FALn;1993;9;ECU;3.5;-80.5;34
FALn;1993;9;ECU;3.5;-79.5;107
FALn;1993;9;ECU;4.5;-79.5;15
FALn;1993;9;MEX;2.5;-91.5;3
FALn;1993;9;MEX;2.5;-88.5;7
FALn;1993;9;MEX;2.5;-81.5;66
FALn;1993;9;MEX;2.5;-80.5;10
FALn;1993;9;MEX;2.5;-79.5;5
FALn;1993;9;MEX;3.5;-95.5;17
FALn;1993;9;MEX;3.5;-94.5;46
FALn;1993;9;MEX;3.5;-92.5;3
FALn;1993;9;MEX;3.5;-80.5;170
FALn;1993;9;MEX;11.5;-120.5;84
FALn;1993;9;MEX;13.5;-123.5;10
FALn;1993;9;MEX;24.5;-109.5;2
FALn;1993;9;USA;10.5;-123.5;1
FALn;1993;9;VUT;0.5;-86.5;44
FALn;1993;9;VUT;1.5;-99.5;1
FALn;1993;9;VUT;1.5;-98.5;6
FALn;1993;9;VUT;2.5;-98.5;60
FALn;1993;9;VUT;2.5;-85.5;14
FALn;1993;9;VUT;3.5;-102.5;60
FALn;1993;9;VUT;8.5;-100.5;8
FALn;1993;10;COL;1.5;-97.5;4
FALn;1993;10;COL;1.5;-96.5;1
FALn;1993;10;COL;7.5;-81.5;3
FALn;1993;10;MEX;3.5;-99.5;2
FALn;1993;10;MEX;4.5;-101.5;2
FALn;1993;10;MEX;11.5;-120.5;10
FALn;1993;10;MEX;18.5;-106.5;4
FALn;1993;10;USA;1.5;-97.5;3
FALn;1993;10;USA;1.5;-95.5;30
FALn;1993;10;USA;9.5;-121.5;100
FALn;1993;10;USA;9.5;-120.5;7
FALn;1993;10;VEN;2.5;-95.5;3
FALn;1993;10;VUT;1.5;-102.5;2
FALn;1993;10;VUT;1.5;-97.5;12
FALn;1993;10;VUT;1.5;-96.5;111
FALn;1993;10;VUT;2.5;-99.5;30
FALn;1993;10;VUT;3.5;-103.5;18
FALn;1993;10;VUT;4.5;-101.5;11
FALn;1993;11;COL;2.5;-105.5;1
FALn;1993;11;COL;4.5;-90.5;11
FALn;1993;11;COL;4.5;-89.5;6
FALn;1993;11;COL;7.5;-82.5;7
FALn;1993;11;COL;7.5;-81.5;5
FALn;1993;11;ECU;-0.5;-91.5;87
FALn;1993;11;ECU;2.5;-92.5;14
FALn;1993;11;ECU;3.5;-92.5;8
FALn;1993;11;ECU;3.5;-91.5;10
FALn;1993;11;ECU;4.5;-90.5;3
FALn;1993;11;MEX;2.5;-95.5;16
FALn;1993;11;MEX;2.5;-94.5;1
FALn;1993;11;MEX;2.5;-88.5;1
FALn;1993;11;MEX;3.5;-88.5;4
FALn;1993;11;MEX;7.5;-106.5;1
FALn;1993;11;MEX;8.5;-106.5;1
FALn;1993;11;MEX;11.5;-108.5;1
FALn;1993;11;MEX;12.5;-108.5;3
FALn;1993;11;MEX;13.5;-93.5;45
FALn;1993;11;MEX;17.5;-104.5;1
FALn;1993;11;MEX;18.5;-107.5;2
FALn;1993;11;MEX;18.5;-104.5;1
FALn;1993;11;MEX;20.5;-107.5;1
FALn;1993;11;MEX;21.5;-107.5;1
FALn;1993;11;MEX;21.5;-106.5;5
FALn;1993;11;USA;4.5;-86.5;1
FALn;1993;11;VEN;2.5;-105.5;2
FALn;1993;11;VEN;5.5;-85.5;53
FALn;1993;11;VEN;7.5;-100.5;1
FALn;1993;11;VEN;8.5;-107.5;31
