Especie;Year;Month;Flag;Lat;Lon;Valor
SPZn;2021;1;ECU;-13.5;-81.5;1
SPZn;2021;2;COL;-14.5;-82.5;1
SPZn;2021;2;ECU;-15.5;-108.5;1
SPZn;2021;2;ECU;-13.5;-88.5;9
SPZn;2021;2;ECU;1.5;-87.5;8
SPZn;2021;3;COL;-15.5;-88.5;2
SPZn;2021;3;ECU;-16.5;-76.5;2
SPZn;2021;3;ECU;-14.5;-92.5;23
SPZn;2021;3;ECU;-13.5;-81.5;1
SPZn;2021;3;ECU;-12.5;-83.5;3
SPZn;2021;3;PAN;-18.5;-83.5;1
SPZn;2021;4;COL;-14.5;-87.5;1
SPZn;2021;4;COL;-11.5;-85.5;1
SPZn;2021;4;COL;-10.5;-85.5;1
SPZn;2021;4;COL;-9.5;-88.5;1
SPZn;2021;4;ECU;-15.5;-78.5;1
SPZn;2021;4;ECU;-14.5;-82.5;2
SPZn;2021;4;ECU;-11.5;-83.5;1
SPZn;2021;4;ECU;-11.5;-80.5;1
SPZn;2021;4;ECU;-10.5;-80.5;4
SPZn;2021;4;ECU;-9.5;-87.5;1
SPZn;2021;4;ECU;-8.5;-89.5;2
SPZn;2021;4;ECU;-8.5;-87.5;3
SPZn;2021;4;ECU;-8.5;-81.5;3
SPZn;2021;4;PAN;-15.5;-82.5;1
SPZn;2021;4;PAN;-9.5;-81.5;1
SPZn;2021;4;VEN;-9.5;-88.5;1
SPZn;2021;4;VEN;-9.5;-86.5;3
SPZn;2021;5;COL;4.5;-103.5;1
SPZn;2021;5;ECU;-20.5;-86.5;1
SPZn;2021;5;ECU;-11.5;-104.5;1
SPZn;2021;5;ECU;-8.5;-87.5;18
SPZn;2021;5;ECU;-8.5;-86.5;2
SPZn;2021;5;ECU;-7.5;-87.5;7
SPZn;2021;5;ECU;-7.5;-86.5;5
SPZn;2021;5;VEN;-9.5;-89.5;3
SPZn;2021;6;ECU;-8.5;-89.5;7
SPZn;2021;6;ECU;-6.5;-91.5;1
SPZn;2021;7;ECU;-9.5;-107.5;1
SPZn;2021;7;ECU;2.5;-96.5;1
SPZn;2021;7;PAN;5.5;-99.5;3
SPZn;2021;7;VEN;-4.5;-107.5;1
SPZn;2021;8;COL;6.5;-122.5;1
SPZn;2021;8;ECU;-3.5;-148.5;1
SPZn;2021;8;ECU;4.5;-111.5;2
SPZn;2021;8;ECU;4.5;-110.5;1
SPZn;2021;8;PAN;-3.5;-148.5;1
SPZn;2021;8;VEN;4.5;-108.5;1
SPZn;2021;9;ECU;-4.5;-111.5;1
SPZn;2021;9;ECU;4.5;-106.5;1
SPZn;2021;9;ECU;5.5;-148.5;1
SPZn;2021;9;MEX;27.5;-115.5;1
SPZn;2021;9;Other;6.5;-122.5;1
SPZn;2021;10;COL;4.5;-118.5;1
SPZn;2021;10;COL;4.5;-104.5;1
SPZn;2021;10;COL;5.5;-105.5;2
SPZn;2021;10;ECU;-4.5;-118.5;1
SPZn;2021;10;ECU;-3.5;-120.5;1
SPZn;2021;10;ECU;4.5;-100.5;4
SPZn;2021;10;MEX;10.5;-117.5;1
SPZn;2021;10;USA;5.5;-119.5;1
SPZn;2021;10;USA;5.5;-106.5;1
SPZn;2021;10;VEN;-4.5;-114.5;1
SPZn;2021;10;VEN;4.5;-112.5;5
SPZn;2021;11;COL;3.5;-117.5;2
SPZn;2021;11;COL;3.5;-108.5;2
SPZn;2021;11;ECU;-5.5;-115.5;4
SPZn;2021;11;ECU;-5.5;-108.5;1
SPZn;2021;12;COL;2.5;-83.5;1
SPZn;2021;12;ECU;-8.5;-103.5;1
SPZn;2022;2;ECU;-15.5;-83.5;9
SPZn;2022;2;ECU;-1.5;-144.5;1
SPZn;2022;2;PAN;-15.5;-90.5;2
SPZn;2022;3;COL;-16.5;-86.5;4
SPZn;2022;3;COL;-15.5;-86.5;5
SPZn;2022;3;ECU;-15.5;-85.5;2
SPZn;2022;3;ECU;-11.5;-82.5;3
SPZn;2022;3;ECU;-11.5;-81.5;8
SPZn;2022;3;ECU;-10.5;-87.5;2
SPZn;2022;3;ECU;-10.5;-83.5;10
SPZn;2022;3;PAN;-16.5;-84.5;1
SPZn;2022;3;PAN;-14.5;-92.5;1
SPZn;2022;3;PAN;-14.5;-90.5;3
SPZn;2022;3;PAN;-2.5;-93.5;1
SPZn;2022;3;VEN;-0.5;-92.5;1
SPZn;2022;4;ECU;-15.5;-93.5;3
SPZn;2022;4;ECU;-14.5;-93.5;6
SPZn;2022;4;ECU;-13.5;-99.5;1
SPZn;2022;4;ECU;-13.5;-98.5;2
SPZn;2022;4;ECU;-13.5;-94.5;4
SPZn;2022;4;ECU;-11.5;-98.5;1
