Especie;Year;Month;Flag;Lat;Lon;Valor
SPZn;1993;7;MEX;24.5;-112.5;2
SPZn;1993;12;VEN;-5.5;-83.5;1
SPZn;1994;3;MEX;25.5;-109.5;1
SPZn;1994;4;MEX;24.5;-109.5;1
SPZn;1994;4;MEX;25.5;-109.5;2
SPZn;1994;4;VEN;-8.5;-83.5;4
SPZn;1994;5;MEX;24.5;-108.5;1
SPZn;1994;5;MEX;25.5;-109.5;5
SPZn;1994;8;MEX;28.5;-115.5;1
SPZn;1994;9;VEN;9.5;-106.5;1
SPZn;1994;9;VUT;10.5;-109.5;1
SPZn;1994;11;MEX;0.5;-96.5;3
SPZn;1995;1;Other;1.5;-111.5;1
SPZn;1995;3;MEX;23.5;-107.5;1
SPZn;1995;3;Other;-14.5;-83.5;2
SPZn;1995;3;Other;-12.5;-83.5;4
SPZn;1995;3;Other;-11.5;-83.5;1
SPZn;1995;3;Other;-7.5;-85.5;1
SPZn;1995;4;ECU;-9.5;-87.5;1
SPZn;1995;4;MEX;24.5;-109.5;1
SPZn;1995;5;MEX;25.5;-109.5;4
SPZn;1995;6;ECU;3.5;-81.5;2
SPZn;1995;6;VUT;7.5;-82.5;12
SPZn;1995;6;VUT;7.5;-81.5;1
SPZn;1995;6;VUT;7.5;-78.5;1
SPZn;1995;7;ECU;-0.5;-86.5;4
SPZn;1995;7;ECU;-0.5;-85.5;6
SPZn;1995;7;MEX;24.5;-112.5;3
SPZn;1995;8;MEX;24.5;-113.5;3
SPZn;1995;10;MEX;27.5;-111.5;1
SPZn;1995;12;ECU;3.5;-108.5;1
SPZn;1996;4;ECU;-8.5;-103.5;1
SPZn;1996;5;ECU;-9.5;-104.5;1
SPZn;1996;5;Other;7.5;-79.5;1
SPZn;1996;5;Other;7.5;-78.5;3
SPZn;1996;6;Other;3.5;-83.5;1
SPZn;1996;6;Other;3.5;-82.5;1
SPZn;1996;7;USA;3.5;-127.5;1
SPZn;1996;8;MEX;24.5;-112.5;7
SPZn;1996;9;ECU;2.5;-82.5;4
SPZn;1996;9;MEX;24.5;-112.5;1
SPZn;1996;9;MEX;25.5;-112.5;2
SPZn;1996;9;Other;3.5;-111.5;8
SPZn;1996;9;Other;4.5;-110.5;14
SPZn;1996;9;Other;4.5;-107.5;6
SPZn;1996;10;COL;-1.5;-86.5;1
SPZn;1996;10;Other;4.5;-118.5;2
SPZn;1996;11;ECU;2.5;-102.5;1
SPZn;1996;11;ECU;5.5;-106.5;2
SPZn;1996;11;VUT;0.5;-86.5;2
SPZn;1996;11;VUT;1.5;-87.5;2
SPZn;1996;12;ECU;-3.5;-116.5;1
SPZn;1996;12;Other;1.5;-94.5;5
SPZn;1996;12;VUT;4.5;-115.5;9
SPZn;1997;2;ECU;-7.5;-87.5;1
SPZn;1997;2;MEX;15.5;-95.5;2
SPZn;1997;3;COL;-8.5;-88.5;1
SPZn;1997;3;COL;-7.5;-89.5;1
SPZn;1997;3;ECU;-15.5;-83.5;7
SPZn;1997;3;ECU;-15.5;-82.5;1
SPZn;1997;3;ECU;-14.5;-83.5;1
SPZn;1997;3;MEX;15.5;-95.5;1
