Species;#Training samples;Regularized training gain;Unregularized training gain;Iterations;Training AUC;#Test samples;Test gain;Test AUC;AUC Standard Deviation;#Background points;Clorofila contribution;Profmezcla contribution;Salinidad contribution;Temperatura contribution;Clorofila permutation importance;Profmezcla permutation importance;Salinidad permutation importance;Temperatura permutation importance;Training gain without Clorofila;Training gain without Profmezcla;Training gain without Salinidad;Training gain without Temperatura;Training gain with only Clorofila;Training gain with only Profmezcla;Training gain with only Salinidad;Training gain with only Temperatura;Test gain without Clorofila;Test gain without Profmezcla;Test gain without Salinidad;Test gain without Temperatura;Test gain with only Clorofila;Test gain with only Profmezcla;Test gain with only Salinidad;Test gain with only Temperatura;AUC without Clorofila;AUC without Profmezcla;AUC without Salinidad;AUC without Temperatura;AUC with only Clorofila;AUC with only Profmezcla;AUC with only Salinidad;AUC with only Temperatura;Entropy;Prevalence (average probability of presence over background sites);Fixed cumulative value 1 cumulative threshold;Fixed cumulative value 1 Cloglog threshold;Fixed cumulative value 1 area;Fixed cumulative value 1 training omission;Fixed cumulative value 1 test omission;Fixed cumulative value 1 binomial probability;Fixed cumulative value 5 cumulative threshold;Fixed cumulative value 5 Cloglog threshold;Fixed cumulative value 5 area;Fixed cumulative value 5 training omission;Fixed cumulative value 5 test omission;Fixed cumulative value 5 binomial probability;Fixed cumulative value 10 cumulative threshold;Fixed cumulative value 10 Cloglog threshold;Fixed cumulative value 10 area;Fixed cumulative value 10 training omission;Fixed cumulative value 10 test omission;Fixed cumulative value 10 binomial probability;Minimum training presence cumulative threshold;Minimum training presence Cloglog threshold;Minimum training presence area;Minimum training presence training omission;Minimum training presence test omission;Minimum training presence binomial probability;10 percentile training presence cumulative threshold;10 percentile training presence Cloglog threshold;10 percentile training presence area;10 percentile training presence training omission;10 percentile training presence test omission;10 percentile training presence binomial probability;Equal training sensitivity and specificity cumulative threshold;Equal training sensitivity and specificity Cloglog threshold;Equal training sensitivity and specificity area;Equal training sensitivity and specificity training omission;Equal training sensitivity and specificity test omission;Equal training sensitivity and specificity binomial probability;Maximum training sensitivity plus specificity cumulative threshold;Maximum training sensitivity plus specificity Cloglog threshold;Maximum training sensitivity plus specificity area;Maximum training sensitivity plus specificity training omission;Maximum training sensitivity plus specificity test omission;Maximum training sensitivity plus specificity binomial probability;Equal test sensitivity and specificity cumulative threshold;Equal test sensitivity and specificity Cloglog threshold;Equal test sensitivity and specificity area;Equal test sensitivity and specificity training omission;Equal test sensitivity and specificity test omission;Equal test sensitivity and specificity binomial probability;Maximum test sensitivity plus specificity cumulative threshold;Maximum test sensitivity plus specificity Cloglog threshold;Maximum test sensitivity plus specificity area;Maximum test sensitivity plus specificity training omission;Maximum test sensitivity plus specificity test omission;Maximum test sensitivity plus specificity binomial probability;Balance training omission, predicted area and threshold value cumulative threshold;Balance training omission, predicted area and threshold value Cloglog threshold;Balance training omission, predicted area and threshold value area;Balance training omission, predicted area and threshold value training omission;Balance training omission, predicted area and threshold value test omission;Balance training omission, predicted area and threshold value binomial probability;Equate entropy of thresholded and original distributions cumulative threshold;Equate entropy of thresholded and original distributions Cloglog threshold;Equate entropy of thresholded and original distributions area;Equate entropy of thresholded and original distributions training omission;Equate entropy of thresholded and original distributions test omission;Equate entropy of thresholded and original distributions binomial probability
FALn_0;1617;0.4522;0.4744;260;0.7246;180;0.4933;0.7212;0.0129;3799;920.168;0.5189;0.0299;74.345;843.055;47.116;0.0195;109.633;0.3185;0.4510;0.4522;0.4195;0.4179;0.2046;0.1497;0.1291;0.3592;0.4901;0.4937;0.4653;0.4561;0.2419;0.1618;0.1395;0.7084;0.7172;0.7219;0.7233;0.6980;0.6608;0.6112;0.6436;77.902;0.3954;10.000;0.1128;0.6541;0.0056;0.0056;4,03E-19;50.000;0.4135;0.5607;0.0445;0.0278;4,73E-26;100.000;0.5615;0.5146;0.0915;0.0889;9,32E-24;0.3286;0.0220;0.7231;0.0000;0.0000;5,09E-14;107.960;0.5702;0.5086;0.0996;0.0944;8,33E-24;356.226;0.6630;0.3525;0.3525;0.3389;2,20E-15;42.066;0.3667;0.5707;0.0322;0.0111;4.37E-30;369.737;0.6636;0.3446;0.3655;0.3444;8,19E-16;42.066;0.3667;0.5707;0.0322;0.0111;4.37E-30;10.166;0.1138;0.6533;0.0056;0.0056;3,41E-19;13.896;0.1406;0.6360;0.0111;0.0056;7,95E-21
FALn_1;1617;0.4575;0.4800;220;0.7265;180;0.4414;0.6972;0.0133;3799;916.631;0.5851;0.0093;77.425;832.928;61.114;0.0639;105.320;0.3194;0.4557;0.4574;0.4240;0.4209;0.2046;0.1487;0.1294;0.3492;0.4439;0.4429;0.4225;0.4305;0.2417;0.1703;0.1361;0.6950;0.6902;0.7011;0.6916;0.7169;0.6612;0.5892;0.6521;77.849;0.3932;10.000;0.1061;0.6515;0.0080;0.0056;2.31E-22;50.000;0.4101;0.5580;0.0439;0.0611;3,96E-22;100.000;0.5525;0.5109;0.0897;0.1333;6.62E-22;0.3520;0.0226;0.7212;0.0000;0.0000;3,69E-14;110.786;0.5677;0.5028;0.0996;0.1444;1,45E-18;351.330;0.6644;0.3511;0.3513;0.4167;3,37E-08;40.102;0.3623;0.5707;0.0278;0.0500;4,27E-22;315.186;0.6595;0.3722;0.3129;0.3722;6,54E-10;22.314;0.2174;0.6041;0.0167;0.0111;2,38E-23;0.9474;0.0988;0.6544;0.0062;0.0056;4,25E-19;13.811;0.1371;0.6328;0.0111;0.0056;3,92E-21
FALn_2;1617;0.4574;0.4801;260;0.7255;180;0.4510;0.7205;0.0137;3799;920.789;0.4624;0.0001;74.586;835.176;53.910;0.0000;110.914;0.3192;0.4558;0.4574;0.4253;0.4233;0.2058;0.1509;0.1260;0.3539;0.4493;0.4509;0.4172;0.4115;0.2342;0.1509;0.1666;0.7075;0.7130;0.7204;0.7122;0.7129;0.6714;0.6266;0.6516;77.851;0.3934;10.000;0.1092;0.6504;0.0074;0.0111;8,42E-19;50.000;0.4161;0.5580;0.0445;0.0556;8.24E-26;100.000;0.5541;0.5120;0.0915;0.1111;2,33E-21;0.3162;0.0215;0.7226;0.0000;0.0000;4,65E-14;111.879;0.5693;0.5030;0.0996;0.1222;4,33E-21;355.800;0.6625;0.3509;0.3513;0.3333;3,42E-16;62.031;0.4639;0.5449;0.0538;0.0722;2,99E-22;369.378;0.6638;0.3430;0.3686;0.3444;5,05E-16;44.990;0.3930;0.5644;0.0383;0.0389;3,48E-24;0.9062;0.0997;0.6557;0.0049;0.0111;2,52E-18;13.694;0.1375;0.6328;0.0105;0.0111;1,87E-20
FALn_3;1617;0.4519;0.4750;260;0.7261;180;0.4933;0.7247;0.0132;3799;919.619;0.7387;0.0000;72.994;861.775;33.077;0.0000;105.147;0.3188;0.4504;0.4519;0.4210;0.4190;0.2112;0.1515;0.1291;0.3520;0.4912;0.4938;0.4512;0.4459;0.1830;0.1450;0.1378;0.7058;0.7322;0.7253;0.7022;0.7036;0.6287;0.5771;0.6195;77.906;0.3955;10.000;0.1071;0.6541;0.0056;0.0056;4,03E-19;50.000;0.4223;0.5604;0.0445;0.0389;1,22E-24;100.000;0.5623;0.5151;0.0921;0.0667;1.51E-29;0.3324;0.0210;0.7276;0.0000;0.0000;1,11E-13;112.209;0.5780;0.5059;0.0996;0.0944;3,93E-24;360.845;0.6615;0.3488;0.3488;0.3667;5,71E-13;39.931;0.3588;0.5730;0.0297;0.0333;6,56E-24;351.014;0.6599;0.3546;0.3401;0.3556;2,15E-13;80.711;0.5304;0.5304;0.0773;0.0389;2,65E-28;10.234;0.1090;0.6531;0.0056;0.0056;3,23E-19;13.705;0.1353;0.6362;0.0105;0.0056;8,42E-21
FALn_4;1617;0.4574;0.4806;220;0.7290;180;0.4443;0.7000;0.0140;3799;910.974;0.5707;0.0000;83.319;853.555;40.714;0.0000;105.731;0.3270;0.4556;0.4573;0.4230;0.4202;0.2095;0.1529;0.1371;0.2829;0.4442;0.4448;0.4334;0.4341;0.2007;0.1329;0.0678;0.6773;0.7051;0.7003;0.6967;0.6887;0.6454;0.5854;0.6070;77.853;0.3933;10.000;0.1078;0.6533;0.0056;0.0056;3,41E-19;50.000;0.4044;0.5583;0.0476;0.0500;1,80E-23;100.000;0.5454;0.5109;0.0909;0.1333;6.62E-22;0.3307;0.0211;0.7260;0.0000;0.0000;8,43E-14;110.747;0.5630;0.5025;0.0996;0.1444;1,35E-18;357.786;0.6723;0.3454;0.3457;0.4556;9,68E-06;98.318;0.5439;0.5125;0.0884;0.1333;9.89E-22;299.555;0.6563;0.3788;0.2894;0.3778;8.31E-12;69.578;0.4805;0.5372;0.0686;0.0556;3,09E-25;10.348;0.1111;0.6515;0.0056;0.0056;2.31E-22;14.282;0.1395;0.6328;0.0099;0.0111;1,87E-20
FALn_5;1617;0.4520;0.4749;200;0.7250;180;0.4933;0.7278;0.0133;3799;919.587;0.7543;0.0000;72.870;856.889;53.578;0.0000;89.532;0.3104;0.4501;0.4520;0.4217;0.4193;0.2026;0.1455;0.1220;0.4289;0.4954;0.4935;0.4463;0.4439;0.2613;0.1980;0.2003;0.7335;0.7283;0.7281;0.7092;0.7079;0.6835;0.6355;0.6710;77.907;0.3956;10.000;0.1086;0.6528;0.0080;0.0056;3,05E-19;50.000;0.4243;0.5609;0.0414;0.0333;2,70E-25;100.000;0.5636;0.5159;0.0872;0.0667;1,91E-26;0.3392;0.0209;0.7255;0.0000;0.0000;7.69E-17;111.089;0.5743;0.5078;0.0996;0.0722;9,08E-27;356.333;0.6630;0.3517;0.3513;0.3444;6,80E-15;44.886;0.3973;0.5673;0.0346;0.0333;1,45E-24;365.791;0.6638;0.3461;0.3624;0.3444;1,32E-15;88.506;0.5498;0.5249;0.0804;0.0444;2.9E-31;0.9608;0.1031;0.6552;0.0056;0.0056;5,02E-19;13.389;0.1371;0.6365;0.0099;0.0167;1,94E-19
FALn_6;1617;0.4528;0.4751;260;0.7265;180;0.4875;0.7198;0.0131;3799;925.180;0.7724;0.0000;67.096;844.747;69.811;0.0000;85.441;0.3176;0.4507;0.4528;0.4227;0.4203;0.2086;0.1507;0.1252;0.3619;0.4916;0.4873;0.4381;0.4367;0.2069;0.1517;0.1716;0.7038;0.7283;0.7204;0.6978;0.7009;0.6543;0.6015;0.6393;77.900;0.3953;10.000;0.1068;0.6544;0.0074;0.0000;9,20E-20;50.000;0.4210;0.5601;0.0433;0.0333;2,19E-25;100.000;0.5628;0.5146;0.0909;0.0833;1,86E-24;0.3436;0.0219;0.7252;0.0000;0.0000;7,35E-14;111.492;0.5778;0.5059;0.0996;0.0889;7,74E-25;358.567;0.6601;0.3490;0.3494;0.3722;2,16E-12;42.415;0.3743;0.5696;0.0322;0.0278;5,21E-25;338.097;0.6579;0.3611;0.3284;0.3611;4,32E-12;129.699;0.5910;0.4928;0.1187;0.0889;1,51E-26;0.9844;0.1034;0.6552;0.0062;0.0000;1,09E-19;13.823;0.1386;0.6360;0.0118;0.0000;1,64E-21
FALn_7;1618;0.4554;0.4781;180;0.7282;179;0.4640;0.7140;0.0140;3799;916.580;0.7093;0.0000;76.327;873.974;26.304;0.0000;99.722;0.3204;0.4541;0.4554;0.4243;0.4221;0.2054;0.1510;0.1327;0.3403;0.4600;0.4640;0.4240;0.4182;0.2378;0.1490;0.1066;0.7004;0.7212;0.7143;0.6995;0.6835;0.6737;0.6001;0.6089;77.867;0.3939;10.000;0.1044;0.6528;0.0074;0.0000;8,60E-20;50.000;0.4108;0.5583;0.0433;0.0670;2,94E-21;100.000;0.5567;0.5120;0.0933;0.1061;7.96E-25;0.3212;0.0199;0.7299;0.0000;0.0000;2,01E-13;110.688;0.5707;0.5041;0.0995;0.1285;4,10E-20;361.145;0.6682;0.3467;0.3467;0.4246;6,35E-08;65.557;0.4808;0.5415;0.0575;0.0782;8,75E-22;332.467;0.6634;0.3633;0.3214;0.3631;1,35E-11;34.121;0.3113;0.5802;0.0266;0.0223;2.24E-27;0.9926;0.1026;0.6531;0.0062;0.0000;9,09E-20;13.895;0.1363;0.6339;0.0111;0.0056;6.65E-24
FALn_8;1618;0.4538;0.4758;200;0.7247;179;0.4797;0.7287;0.0136;3799;916.109;0.8213;0.0000;75.678;881.129;34.134;0.0000;84.737;0.3175;0.4520;0.4538;0.4220;0.4199;0.2044;0.1483;0.1306;0.3672;0.4797;0.4793;0.4451;0.4400;0.2458;0.1734;0.1257;0.7166;0.7307;0.7276;0.7197;0.7109;0.6834;0.6083;0.6271;77.890;0.3949;10.000;0.1048;0.6533;0.0068;0.0056;4,46E-19;50.000;0.4104;0.5596;0.0439;0.0447;7,51E-24;100.000;0.5663;0.5138;0.0933;0.0950;5,81E-23;0.3375;0.0213;0.7268;0.0000;0.0000;1,17E-13;107.944;0.5762;0.5080;0.0995;0.0950;1,15E-23;359.443;0.6604;0.3496;0.3498;0.3743;4,68E-12;43.713;0.3827;0.5673;0.0334;0.0335;2,13E-24;352.297;0.6591;0.3535;0.3430;0.3520;8,41E-14;124.998;0.5900;0.4954;0.1131;0.0950;2,93E-25;0.9864;0.1027;0.6544;0.0062;0.0000;1,20E-19;13.795;0.1367;0.6352;0.0099;0.0168;1,94E-19
FALn_9;1618;0.4592;0.4810;340;0.7249;179;0.4296;0.7345;0.0144;3799;922.663;0.4441;0.0005;72.891;879.427;33.191;0.0578;86.804;0.3246;0.4578;0.4592;0.4293;0.4264;0.2148;0.1513;0.1311;0.3041;0.4282;0.4294;0.3789;0.3830;0.1533;0.1467;0.1209;0.6950;0.7249;0.7350;0.7086;0.7145;0.6442;0.5979;0.6237;77.834;0.3931;10.000;0.1197;0.6441;0.0068;0.0279;2,49E-17;50.000;0.4255;0.5570;0.0451;0.0615;4,48E-22;100.000;0.5650;0.5128;0.0933;0.1006;2,09E-22;0.3026;0.0197;0.7191;0.0000;0.0056;1,25E-13;108.116;0.5760;0.5064;0.0995;0.1006;3,62E-23;363.023;0.6642;0.3504;0.3504;0.3128;1,78E-18;65.880;0.4945;0.5409;0.0600;0.0726;1,61E-22;379.415;0.6654;0.3409;0.3646;0.3408;1.29E-19;127.689;0.5981;0.4928;0.1168;0.1117;1,77E-23;0.8188;0.1031;0.6536;0.0037;0.0223;4.05E-20;12.759;0.1398;0.6317;0.0087;0.0279;1,86E-18
