Species;#Training samples;Regularized training gain;Unregularized training gain;Iterations;Training AUC;#Test samples;Test gain;Test AUC;AUC Standard Deviation;#Background points;Clorofila contribution;Profmezcla contribution;Prpesca contribution;Salinidad contribution;Temperatura contribution;Clorofila permutation importance;Profmezcla permutation importance;Prpesca permutation importance;Salinidad permutation importance;Temperatura permutation importance;Training gain without Clorofila;Training gain without Profmezcla;Training gain without Prpesca;Training gain without Salinidad;Training gain without Temperatura;Training gain with only Clorofila;Training gain with only Profmezcla;Training gain with only Prpesca;Training gain with only Salinidad;Training gain with only Temperatura;Test gain without Clorofila;Test gain without Profmezcla;Test gain without Prpesca;Test gain without Salinidad;Test gain without Temperatura;Test gain with only Clorofila;Test gain with only Profmezcla;Test gain with only Prpesca;Test gain with only Salinidad;Test gain with only Temperatura;AUC without Clorofila;AUC without Profmezcla;AUC without Prpesca;AUC without Salinidad;AUC without Temperatura;AUC with only Clorofila;AUC with only Profmezcla;AUC with only Prpesca;AUC with only Salinidad;AUC with only Temperatura;Entropy;Prevalence (average probability of presence over background sites);Fixed cumulative value 1 cumulative threshold;Fixed cumulative value 1 Cloglog threshold;Fixed cumulative value 1 area;Fixed cumulative value 1 training omission;Fixed cumulative value 1 test omission;Fixed cumulative value 1 binomial probability;Fixed cumulative value 5 cumulative threshold;Fixed cumulative value 5 Cloglog threshold;Fixed cumulative value 5 area;Fixed cumulative value 5 training omission;Fixed cumulative value 5 test omission;Fixed cumulative value 5 binomial probability;Fixed cumulative value 10 cumulative threshold;Fixed cumulative value 10 Cloglog threshold;Fixed cumulative value 10 area;Fixed cumulative value 10 training omission;Fixed cumulative value 10 test omission;Fixed cumulative value 10 binomial probability;Minimum training presence cumulative threshold;Minimum training presence Cloglog threshold;Minimum training presence area;Minimum training presence training omission;Minimum training presence test omission;Minimum training presence binomial probability;10 percentile training presence cumulative threshold;10 percentile training presence Cloglog threshold;10 percentile training presence area;10 percentile training presence training omission;10 percentile training presence test omission;10 percentile training presence binomial probability;Equal training sensitivity and specificity cumulative threshold;Equal training sensitivity and specificity Cloglog threshold;Equal training sensitivity and specificity area;Equal training sensitivity and specificity training omission;Equal training sensitivity and specificity test omission;Equal training sensitivity and specificity binomial probability;Maximum training sensitivity plus specificity cumulative threshold;Maximum training sensitivity plus specificity Cloglog threshold;Maximum training sensitivity plus specificity area;Maximum training sensitivity plus specificity training omission;Maximum training sensitivity plus specificity test omission;Maximum training sensitivity plus specificity binomial probability;Equal test sensitivity and specificity cumulative threshold;Equal test sensitivity and specificity Cloglog threshold;Equal test sensitivity and specificity area;Equal test sensitivity and specificity training omission;Equal test sensitivity and specificity test omission;Equal test sensitivity and specificity binomial probability;Maximum test sensitivity plus specificity cumulative threshold;Maximum test sensitivity plus specificity Cloglog threshold;Maximum test sensitivity plus specificity area;Maximum test sensitivity plus specificity training omission;Maximum test sensitivity plus specificity test omission;Maximum test sensitivity plus specificity binomial probability;Balance training omission, predicted area and threshold value cumulative threshold;Balance training omission, predicted area and threshold value Cloglog threshold;Balance training omission, predicted area and threshold value area;Balance training omission, predicted area and threshold value training omission;Balance training omission, predicted area and threshold value test omission;Balance training omission, predicted area and threshold value binomial probability;Equate entropy of thresholded and original distributions cumulative threshold;Equate entropy of thresholded and original distributions Cloglog threshold;Equate entropy of thresholded and original distributions area;Equate entropy of thresholded and original distributions training omission;Equate entropy of thresholded and original distributions test omission;Equate entropy of thresholded and original distributions binomial probability
SPZn_0;220;0.7095;0.9008;500;0.8582;25;0.8243;0.8453;0.0299;3191;722.866;68.171;51.611;22.522;134.831;610.709;151.705;28.639;48.009;160.938;0.4953;0.6273;0.6853;0.6882;0.6010;0.4556;0.2776;0.0563;0.1893;0.0427;0.6144;0.7680;0.7927;0.8406;0.6866;0.5119;0.3426;0.0256;0.3016;0.1610;0.8014;0.8363;0.8345;0.8489;0.8160;0.7285;0.7355;0.5645;0.7331;0.6703;73.594;0.2970;10.000;0.0735;0.6437;0.0045;0.0000;1,65E-02;50.000;0.2273;0.5315;0.0227;0.0400;3,16E-03;100.000;0.3066;0.4522;0.0500;0.0400;7,57E-05;0.6494;0.0364;0.6747;0.0000;0.0000;5,35E-02;218.534;0.4310;0.3272;0.1000;0.1600;1,83E-04;343.784;0.5169;0.2313;0.2318;0.2800;3,07E-04;288.237;0.4819;0.2704;0.1409;0.2800;3,65E-03;280.750;0.4761;0.2764;0.1409;0.2800;5,13E-03;157.136;0.3777;0.3848;0.0773;0.0400;1,76E-06;25.569;0.1705;0.5848;0.0045;0.0400;2,80E-02;72.688;0.2676;0.4920;0.0273;0.0400;5,34E-04
SPZn_1;220;0.7084;0.9139;480;0.8583;25;0.8399;0.8466;0.0233;3191;709.553;64.325;46.584;24.351;155.187;624.350;149.181;29.714;32.581;164.174;0.4980;0.6337;0.6852;0.6894;0.5852;0.4448;0.2746;0.0478;0.1933;0.0657;0.6136;0.7042;0.7982;0.8289;0.8197;0.5968;0.3750;0.1034;0.2621;-0.0417;0.7961;0.8095;0.8395;0.8384;0.8448;0.7915;0.7288;0.6456;0.6876;0.5160;73.613;0.2975;10.000;0.0734;0.6424;0.0045;0.0000;1,57E-02;50.000;0.2308;0.5327;0.0227;0.0000;1,46E-04;100.000;0.3091;0.4541;0.0455;0.0000;2,68E-06;0.6437;0.0350;0.6753;0.0000;0.0000;5.47E-5;189.887;0.4052;0.3535;0.1000;0.0000;5,12E-09;358.627;0.5350;0.2231;0.2227;0.3200;1,38E-03;260.964;0.4647;0.2918;0.1273;0.2400;1,74E-03;332.948;0.5196;0.2401;0.2045;0.2400;6,32E-05;191.545;0.4073;0.3516;0.1045;0.0000;4,48E-09;23.072;0.1690;0.5917;0.0045;0.0000;2,00E-03;73.237;0.2678;0.4929;0.0455;0.0000;2.09E-8
SPZn_2;220;0.7086;0.9000;500;0.8573;25;0.8214;0.8370;0.0339;3191;729.205;59.922;57.711;14.421;138.740;639.220;141.507;36.482;25.688;157.103;0.4889;0.6385;0.6802;0.6942;0.6037;0.4625;0.2680;0.0592;0.1946;0.0465;0.6716;0.6733;0.8231;0.7756;0.6717;0.4540;0.4234;0.0096;0.2439;0.1316;0.8140;0.8045;0.8492;0.8314;0.8013;0.7419;0.7623;0.5578;0.6983;0.6589;73.593;0.2971;10.000;0.0745;0.6387;0.0045;0.0000;1,36E-02;50.000;0.2270;0.5252;0.0091;0.0800;2,74E-02;100.000;0.3119;0.4469;0.0409;0.1200;8,73E-03;0.6167;0.0333;0.6735;0.0000;0.0000;5,10E-02;197.019;0.4183;0.3435;0.1000;0.1200;4,29E-05;359.647;0.5423;0.2219;0.2227;0.2800;1,57E-04;328.450;0.5263;0.2419;0.1864;0.2400;7,23E-05;331.318;0.5288;0.2401;0.2000;0.2400;6,32E-05;200.138;0.4209;0.3406;0.1091;0.1200;3,63E-05;21.986;0.1554;0.5898;0.0045;0.0000;1,85E-03;68.956;0.2628;0.4920;0.0273;0.0800;6,91E-03
SPZn_3;220;0.7535;0.9480;500;0.8617;25;0.4523;0.7827;0.0347;3191;727.381;73.331;50.351;22.442;126.495;644.780;160.482;31.456;28.943;134.339;0.5260;0.6613;0.7276;0.7369;0.6552;0.4899;0.3106;0.0560;0.2013;0.0478;0.3562;0.4967;0.4344;0.4288;0.2319;0.2227;0.0474;0.0412;0.1821;0.1214;0.7529;0.7776;0.7677;0.7725;0.7236;0.6848;0.6519;0.5659;0.6379;0.6246;73.152;0.2838;10.000;0.0812;0.6255;0.0000;0.0400;1,29E-01;50.000;0.2099;0.5127;0.0227;0.0400;1,38E-03;100.000;0.2958;0.4309;0.0500;0.1200;4,24E-03;22.465;0.1489;0.5772;0.0000;0.0400;2,09E-02;196.604;0.4138;0.3278;0.1000;0.3200;3,32E-01;338.229;0.5277;0.2228;0.2227;0.3600;9,15E-03;258.366;0.4651;0.2770;0.1409;0.3200;3,22E-02;205.629;0.4222;0.3200;0.1091;0.3200;2,39E-01;86.227;0.2730;0.4506;0.0500;0.0400;6,98E-05;22.465;0.1489;0.5772;0.0000;0.0400;2,09E-02;73.319;0.2501;0.4707;0.0455;0.0400;1,92E-04
SPZn_4;220;0.7056;0.9026;500;0.8575;25;0.8755;0.8553;0.0303;3191;721.517;73.299;40.252;28.150;136.783;612.957;155.932;23.430;56.840;150.841;0.4910;0.6208;0.6866;0.6822;0.5962;0.4497;0.2802;0.0433;0.1931;0.0537;0.6670;0.8300;0.8051;0.9104;0.7413;0.5599;0.3308;0.1419;0.2625;0.0720;0.8149;0.8462;0.8409;0.8661;0.8309;0.7631;0.7155;0.6939;0.6913;0.5682;73.614;0.2976;10.000;0.0747;0.6427;0.0045;0.0000;1,59E-02;50.000;0.2273;0.5302;0.0182;0.0800;3,35E-02;100.000;0.3118;0.4522;0.0364;0.0800;1.14E-6;0.6593;0.0384;0.6722;0.0000;0.0000;4.87E-5;203.483;0.4243;0.3410;0.1000;0.0800;2,43E-06;353.793;0.5264;0.2272;0.2273;0.2000;2,11E-06;285.985;0.4867;0.2742;0.1545;0.0800;1,94E-08;390.195;0.5504;0.2040;0.2545;0.2000;2,82E-07;295.801;0.4922;0.2670;0.1636;0.0800;1,07E-08;18.361;0.1370;0.6058;0.0045;0.0000;3,61E-03;71.446;0.2687;0.4933;0.0273;0.0800;7,29E-03
SPZn_5;221;0.6972;0.8831;500;0.8531;24;0.9335;0.8553;0.0317;3191;751.475;62.799;44.224;24.114;117.387;630.489;158.277;28.742;44.939;137.552;0.4744;0.6178;0.6752;0.6778;0.6063;0.4683;0.2816;0.0492;0.2029;0.0521;0.8068;0.8542;0.8880;0.9225;0.6497;0.4062;0.3022;0.0988;0.1736;0.0778;0.8491;0.8483;0.8479;0.8556;0.8050;0.7167;0.6794;0.6115;0.6558;0.5696;73.716;0.3011;10.000;0.0746;0.6402;0.0045;0.0000;2.25E-5;50.000;0.2362;0.5287;0.0226;0.0000;2,27E-04;100.000;0.3170;0.4510;0.0588;0.0833;2,20E-03;0.6127;0.0365;0.6735;0.0000;0.0000;7,58E-02;186.517;0.4154;0.3569;0.0995;0.1250;2,34E-04;355.048;0.5415;0.2281;0.2262;0.2917;7.82E-7;274.641;0.4840;0.2839;0.1403;0.1667;3,50E-05;340.520;0.5304;0.2379;0.2217;0.2500;1,73E-04;339.570;0.5299;0.2385;0.2217;0.1667;1,34E-06;23.363;0.1618;0.5882;0.0045;0.0000;2,94E-03;67.610;0.2662;0.4983;0.0271;0.0417;1,38E-03
SPZn_6;221;0.6775;0.8628;500;0.8518;24;10.902;0.8951;0.0212;3191;742.068;62.707;45.212;18.003;132.010;633.422;155.151;33.943;24.494;152.990;0.4668;0.6097;0.6549;0.6653;0.5819;0.4536;0.2652;0.0491;0.1880;0.0438;0.8711;0.9221;10.458;10.330;0.8492;0.5286;0.4505;0.0999;0.3109;0.1558;0.8672;0.8635;0.8908;0.8858;0.8598;0.7335;0.7738;0.6215;0.7062;0.7084;73.910;0.3074;10.000;0.0785;0.6443;0.0045;0.0000;2.62E-5;50.000;0.2407;0.5368;0.0226;0.0000;3.28E-7;100.000;0.3188;0.4600;0.0498;0.0000;8,08E-06;0.6421;0.0375;0.6763;0.0000;0.0000;8,38E-02;206.303;0.4349;0.3469;0.0995;0.0833;9,46E-06;356.539;0.5411;0.2328;0.2308;0.1250;4,87E-08;268.185;0.4769;0.2958;0.1403;0.0833;3,27E-07;450.778;0.5977;0.1761;0.3258;0.1667;4,21E-09;354.141;0.5398;0.2341;0.2308;0.0833;2,23E-09;26.160;0.1876;0.5860;0.0045;0.0000;2,69E-03;66.794;0.2711;0.5080;0.0271;0.0000;8,72E-05
SPZn_7;221;0.7339;0.9337;500;0.8616;24;0.5953;0.7940;0.0361;3191;689.605;71.670;72.704;37.807;128.213;574.596;164.687;55.481;52.146;153.090;0.5248;0.6426;0.6964;0.7066;0.6315;0.4505;0.2916;0.0667;0.2002;0.0615;0.3286;0.6212;0.6911;0.6738;0.4061;0.5594;0.2251;-0.0740;0.1805;-0.0054;0.7151;0.7849;0.8187;0.8046;0.7544;0.7634;0.6830;0.5213;0.6252;0.5218;73.352;0.2891;10.000;0.0703;0.6427;0.0045;0.0000;2,47E-02;50.000;0.2205;0.5296;0.0226;0.1250;3,93E-01;100.000;0.2918;0.4488;0.0362;0.1250;1,87E-02;0.5912;0.0291;0.6841;0.0000;0.0000;1,10E-01;191.757;0.3908;0.3432;0.0995;0.1667;1,12E-03;347.062;0.5254;0.2219;0.2217;0.3750;2,52E-02;272.585;0.4655;0.2733;0.1448;0.2500;1,62E-03;302.964;0.4979;0.2510;0.1946;0.2500;4,15E-04;249.278;0.4447;0.2921;0.1357;0.2083;5.87E-7;28.447;0.1748;0.5760;0.0045;0.0417;3.32E-5;78.534;0.2633;0.4804;0.0317;0.1250;6,65E-02
SPZn_8;221;0.7095;0.9024;500;0.8564;24;0.8007;0.8486;0.0219;3191;734.158;58.990;50.083;21.226;135.543;630.420;145.398;27.709;34.989;161.484;0.4985;0.6336;0.6844;0.6914;0.6078;0.4678;0.2843;0.0540;0.2013;0.0460;0.5764;0.6989;0.7816;0.7838;0.6086;0.3943;0.2658;0.0511;0.1919;0.1350;0.7985;0.8072;0.8432;0.8378;0.7905;0.6682;0.6895;0.5556;0.6464;0.6709;73.584;0.2967;10.000;0.0743;0.6418;0.0045;0.0000;2,39E-02;50.000;0.2320;0.5312;0.0226;0.0000;2,55E-04;100.000;0.3077;0.4531;0.0543;0.0000;5,62E-06;0.6340;0.0366;0.6741;0.0000;0.0000;7,75E-02;189.652;0.4068;0.3547;0.0995;0.0417;7,05E-07;343.634;0.5125;0.2313;0.2308;0.2500;1,10E-04;281.159;0.4719;0.2764;0.1538;0.2083;2,28E-04;338.164;0.5091;0.2350;0.2172;0.2500;1,43E-04;231.572;0.4336;0.3168;0.1222;0.0417;5,52E-08;25.467;0.1746;0.5841;0.0045;0.0000;2,49E-03;73.320;0.2722;0.4917;0.0271;0.0000;3,99E-05
SPZn_9;221;0.6853;0.8637;500;0.8521;24;10.385;0.8756;0.0275;3191;752.375;54.209;45.168;18.839;129.409;621.506;154.160;26.364;30.216;167.755;0.4826;0.6096;0.6636;0.6673;0.5865;0.4573;0.2866;0.0493;0.1902;0.0422;0.7467;0.9158;0.9831;10.155;0.8092;0.4970;0.2561;0.0999;0.2842;0.1655;0.8290;0.8614;0.8574;0.8773;0.8423;0.7366;0.6854;0.6252;0.7461;0.7131;73.832;0.3048;10.000;0.0739;0.6462;0.0045;0.0000;2.81E-5;50.000;0.2328;0.5340;0.0181;0.0000;2,89E-04;100.000;0.3161;0.4557;0.0498;0.0417;1,90E-04;0.6417;0.0358;0.6788;0.0000;0.0000;9,15E-02;185.412;0.4169;0.3626;0.0995;0.0833;2,39E-05;352.811;0.5418;0.2332;0.2353;0.1667;8,78E-07;293.613;0.4968;0.2736;0.1584;0.1250;1,23E-06;370.503;0.5502;0.2219;0.2489;0.2083;4,91E-06;261.075;0.4738;0.2983;0.1448;0.0833;3,92E-07;27.871;0.1819;0.5816;0.0045;0.0000;2,25E-03;67.194;0.2669;0.5039;0.0226;0.0417;1.77E-6
